Name,Feature,Full Address,Street,Municipality,Categories,Plus Code,Phones,Emails,Review Count,Average Rating,Review URL,Google Maps URL,Cid,Google Knowledge URL,Kgmid,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Place Id
مطعم ومشويات ذا بلو,,12 أحمد راغب، قسم قصر النيل، محافظة القاهرة‬ 11519,12 أحمد راغب,قسم قصر النيل,الشواء,,,,36,4,https://search.google.com/local/reviews?placeid=ChIJZ_sFyM1AWBQR1QjFdMrge00&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=5583303323202947285,5583303323202947285,https://www.google.com/search?kgmid=/g/11j2xmmthz&kponly,/g/11j2xmmthz,30.038654599999997,31.2304663,https://www.kempinski.com/en/cairo/nile-hotel/dining/the-blue-restaurant-and-grill/,kempinski.com,"الثلاثاء:[١١:٠٠ص-١:٠٠ص], الأربعاء:[١١:٠٠ص-١:٠٠ص], الخميس:[١١:٠٠ص-١:٠٠ص], الجمعة:[١١:٠٠ص-١:٠٠ص], السبت:[١٠:٠٠ص-١:٠٠ص], الأحد:[١١:٠٠ص-١:٠٠ص], الاثنين:[١١:٠٠ص-١:٠٠ص]",https://lh5.googleusercontent.com/p/AF1QipM7juiAWEbwVBHGTN7OW5LmrCzZrn6YFjUwmcMA=w122-h92-k-no,ChIJZ_sFyM1AWBQR1QjFdMrge00
ابو السيد,,157 محور 26 يوليو، محمد مظهر، الزمالك، محافظة القاهرة‬ 4271050,157 محور 26 يوليو,الزمالك,"مطعم مأكولات مصرية, مطعم مأكولات ومشروبات",,"02 27359640, +20 2 27359640",,4193,3.9,https://search.google.com/local/reviews?placeid=ChIJD1gOLOtAWBQRRXUYeJE0qiU&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=2714039524833916229,2714039524833916229,https://www.google.com/search?kgmid=/g/1wb4460m&kponly,/g/1wb4460m,30.0592246,31.2244165,http://www.abouelsid.com/,abouelsid.com,"الثلاثاء:[١:٠٠م-١:٠٠ص], الأربعاء:[١:٠٠م-١:٠٠ص], الخميس:[١:٠٠م-١:٠٠ص], الجمعة:[١:٠٠م-١:٠٠ص], السبت:[١:٠٠م-١:٠٠ص], الأحد:[١:٠٠م-١:٠٠ص], الاثنين:[١:٠٠م-١:٠٠ص]",https://lh5.googleusercontent.com/p/AF1QipMqH5ZTljVH6UasQj_fW9NyGreoLeDo2U65n3YS=w122-h92-k-no,ChIJD1gOLOtAWBQRRXUYeJE0qiU
Sit & Sab Thai Chilli,,"3, Abdel Azim St., Next to Abdou Basha Metro Station الوايلى، محافظة القاهرة‬","3, Abdel Azim St., Next to Abdou Basha Metro Station",الوايلى,"مطعم مأكولات تايلاندية, مقهى, مطعم",,"0102 345 1918, +20 102 345 1918",,297,4.3,https://search.google.com/local/reviews?placeid=ChIJAQD05Hc_WBQRa2xQgB_yR7E&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=12774445085170363499,12774445085170363499,https://www.google.com/search?kgmid=/g/11hd1s0fkw&kponly,/g/11hd1s0fkw,30.064256099999998,31.2749752,https://www.facebook.com/SitandSabRestaurant/,facebook.com,"الثلاثاء:[١:٠٠-٩:٠٠م], الأربعاء:[١:٠٠-٩:٠٠م], الخميس:[١:٠٠-٩:٠٠م], الجمعة:[٢:٠٠-٩:٠٠م], السبت:[١:٠٠-٩:٠٠م], الأحد:[١:٠٠-٩:٠٠م], الاثنين:[١:٠٠-٩:٠٠م]",https://lh5.googleusercontent.com/p/AF1QipO-zcf6JOB0xJGmd3Hjb3D7wueq6UhqLFUkA63b=w80-h106-k-no,ChIJAQD05Hc_WBQRa2xQgB_yR7E
كامالا,,"El Nil, Conrad Cairo, كورنيش النيل، محافظة القاهرة‬ 11221",El Nil,بولاق,مطعم سوشي,,"02 25808481, +20 2 25808481",,74,4.2,https://search.google.com/local/reviews?placeid=ChIJudDqb-VAWBQRUfz2I0qItt4&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=16048164174193687633,16048164174193687633,https://www.google.com/search?kgmid=/g/1td0q59_&kponly,/g/1td0q59_,30.0656608,31.2282729,http://conradhotels3.hilton.com/en/hotels/egypt/conrad-cairo-CAICICI/amenities/restaurants-kamala.html,conradhotels3.hilton.com,"الثلاثاء:[٦:٠٠م-١:٠٠ص], الأربعاء:[٦:٠٠م-١:٠٠ص], الخميس:[٦:٠٠م-١:٠٠ص], الجمعة:[٦:٠٠م-١:٠٠ص], السبت:[٦:٠٠م-١:٠٠ص], الأحد:[٦:٠٠م-١:٠٠ص], الاثنين:[٦:٠٠م-١:٠٠ص]",https://lh5.googleusercontent.com/p/AF1QipM4BEVD_i4o_tpPGeSH07x3crAjrBRT5VkrqUUT=w122-h92-k-no,ChIJudDqb-VAWBQRUfz2I0qItt4
مطعم عثمانلي,مطعم تركي أنيق في فندق,"12 Ahmed Ragheb, street, محافظة القاهرة‬ 11519",12 Ahmed Ragheb,قسم قصر النيل,"مطعم مأكولات تركية, مطعم",,"02 27980000, +20 2 27980000",,470,4.2,https://search.google.com/local/reviews?placeid=ChIJEYXix81AWBQRkjrAs56cZJ8&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=11485477155136092818,11485477155136092818,https://www.google.com/search?kgmid=/g/1tgfsxvy&kponly,/g/1tgfsxvy,30.0386357,31.230670999999997,https://www.kempinski.com/en/cairo/nile-hotel/dining/the-osmanly-restaurant/,kempinski.com,"الثلاثاء:[١:٠٠م-١٢:٠٠ص], الأربعاء:[١:٠٠م-١٢:٠٠ص], الخميس:[١:٠٠م-١٢:٠٠ص], الجمعة:[١:٠٠م-١٢:٠٠ص], السبت:[١:٠٠م-١٢:٠٠ص], الأحد:[١:٠٠م-١٢:٠٠ص], الاثنين:[١:٠٠م-١٢:٠٠ص]",https://lh5.googleusercontent.com/p/AF1QipO6wSUUOqVSe14C-08IHlEGVJQBrmiHEVrFhCc=w114-h92-k-no,ChIJEYXix81AWBQRkjrAs56cZJ8
The Grill Restaurant & Lounge,قائمة طعام فرنسية حديثة في محيط حديث,"Semiramis InterContinental, Cornich, El Nile, محافظة القاهرة‬ 11511",Semiramis InterContinental,قسم قصر النيل,"مطعم مأكولات فرنسية, مطعم راقٍ",,"02 27988000, +20 2 27988000",,388,4.6,https://search.google.com/local/reviews?placeid=ChIJJeBrEM9AWBQRT2ioVk0o-YU&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=9653791588876838991,9653791588876838991,https://www.google.com/search?kgmid=/g/1tm2vhtq&kponly,/g/1tm2vhtq,30.0431423,31.2318248,https://www.ihg.com/intercontinental/hotels/us/en/cairo/croha/hoteldetail,ihg.com,"الثلاثاء:[٧:٠٠م-١٢:٠٠ص], الأربعاء:[٧:٠٠م-١٢:٠٠ص], الخميس:[٧:٠٠م-١٢:٠٠ص], الجمعة:[٧:٠٠م-١٢:٠٠ص], السبت:[٧:٠٠م-١٢:٠٠ص], الأحد:[٧:٠٠م-١٢:٠٠ص], الاثنين:[٧:٠٠م-١٢:٠٠ص]",https://lh5.googleusercontent.com/p/AF1QipMT7_Vl-17M3pK_xYzKStOoJDvnVHvpgec4xBVL=w138-h92-k-no,ChIJJeBrEM9AWBQRT2ioVk0o-YU
بيبيتو - باب الشعرية,,3745+JVC، الشمكري، باب الشعرية، محافظة القاهرة‬ 4331204,3745+JVC,باب الشعرية,مطعم أطباق اللحوم,,"02 27862709, +20 2 27862709",,1192,4.1,https://search.google.com/local/reviews?placeid=ChIJW9Mk4pxAWBQRx4BmA_YVpLA&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=12728322593219051719,12728322593219051719,https://www.google.com/search?kgmid=/g/1tdr5gyk&kponly,/g/1tdr5gyk,30.056571599999998,31.2596538,https://www.elmenus.com/ar/%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9/%D8%A8%D9%8A%D8%A8%D9%8A%D8%AA%D9%88-qrdr,elmenus.com,"الثلاثاء:[١١:٠٠ص-٤:٠٠ص], الأربعاء:[١١:٠٠ص-٤:٠٠ص], الخميس:[١١:٠٠ص-٤:٠٠ص], الجمعة:[١١:٠٠ص-٤:٠٠ص], السبت:[١١:٠٠ص-٤:٠٠ص], الأحد:[١١:٠٠ص-٤:٠٠ص], الاثنين:[١١:٠٠ص-٤:٠٠ص]",https://lh5.googleusercontent.com/p/AF1QipNh7slNK8taDNaITFHPkt9Cs4znNlgEkvtlfHm2=w122-h92-k-no,ChIJW9Mk4pxAWBQRx4BmA_YVpLA
مطعم بابا عبده باب الفتوح,,البنهاوي، الصوابي، قسم الجمالية، محافظة القاهرة‬ 4334026,البنهاوي,قسم الجمالية,مطعم,,"0103 274 5000, +20 103 274 5000",,5601,4,https://search.google.com/local/reviews?placeid=ChIJncF4L51AWBQROMP5WaGO4I0&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=10223327977781445432,10223327977781445432,https://www.google.com/search?kgmid=/g/1tfj5ncr&kponly,/g/1tfj5ncr,30.055961099999998,31.2635582,https://restaurant-75862.business.site/?utm_source=gmb&utm_medium=referral,restaurant-75862.business.site,"الثلاثاء:[نعمل على مدار 24 ساعة], الأربعاء:[نعمل على مدار 24 ساعة], الخميس:[نعمل على مدار 24 ساعة], الجمعة:[نعمل على مدار 24 ساعة], السبت:[نعمل على مدار 24 ساعة], الأحد:[نعمل على مدار 24 ساعة], الاثنين:[نعمل على مدار 24 ساعة]",https://lh5.googleusercontent.com/p/AF1QipNHL2PuHAVa7_aDs-vp2bltKh7xjxYIYEcQldhW=w126-h92-k-no,ChIJncF4L51AWBQROMP5WaGO4I0
القاهرة,,2 درب المحكمه، الشمكري، باب الشعرية، محافظة القاهرة‬ 4330245,2 درب المحكمه,باب الشعرية,مطعم,,,,1,5,https://search.google.com/local/reviews?placeid=ChIJMWHqMO9BWBQRu5WqTJp2dQ8&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=1113926887927354811,1113926887927354811,https://www.google.com/search?kgmid=/g/11hqtk11kf&kponly,/g/11hqtk11kf,30.0565042,31.2579076,,,,https://lh5.googleusercontent.com/p/AF1QipMaZPVyiTwy2Nuz9Ru72cOd4OhpuftP7pdyndnD=w80-h142-k-no,ChIJMWHqMO9BWBQRu5WqTJp2dQ8
"Crimson Bar & Grill, Cairo, Egypt.",مطعم وبار نابض بالحياة على السطح,"St. (former Montazah St, 16 كمال الطويل، الزمالك، محافظة القاهرة‬",St. (former Montazah St,الزمالك,"مطعم, بارات",,"0127 505 5555, +20 127 505 5555",,2584,4.4,https://search.google.com/local/reviews?placeid=ChIJa2LGePxAWBQR0JfgDGidtg8&q=restaurants+%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8+%D9%85%D9%86+Cairo&authuser=0&hl=ar&gl=EG,https://www.google.com/maps?cid=1132265426548463568,1132265426548463568,https://www.google.com/search?kgmid=/g/11c5q_4pm_&kponly,/g/11c5q_4pm_,30.0707225,31.222342899999997,http://www.crimsoncairo.com/,crimsoncairo.com,"الثلاثاء:[٨:٠٠ص-٢:٠٠ص], الأربعاء:[٨:٠٠ص-٢:٠٠ص], الخميس:[٨:٠٠ص-٢:٠٠ص], الجمعة:[٨:٠٠ص-٢:٠٠ص], السبت:[٨:٠٠ص-٢:٠٠ص], الأحد:[٨:٠٠ص-٢:٠٠ص], الاثنين:[٨:٠٠ص-٢:٠٠ص]",https://lh5.googleusercontent.com/p/AF1QipMGEbfgl19LxYUSFPU6IBaMa2Ac9foYNrAMkPij=w138-h92-k-no,ChIJa2LGePxAWBQR0JfgDGidtg8
